employeenumber,department,jobrole,joblevel,educationfield,gender,age,age_band,monthlyincome,overtime,overtime_flag,distancefromhome,jobsatisfaction,worklifebalance,tenure_years,tenure_band,attrition,attrition_flag
684,Sales,Sales Executive,2,Life Sciences,Female,45,45-54,4286,No,0,26,1,3,1,0-1,Yes,1
686,Research & Development,Laboratory Technician,1,Life Sciences,Female,26,25-34,2659,Yes,1,6,4,3,3,2-5,No,0
689,Research & Development,Manufacturing Director,3,Other,Male,37,35-44,9434,No,0,3,3,3,10,5-10,No,0
690,Sales,Sales Executive,2,Medical,Female,29,25-34,5561,No,0,3,3,2,6,5-10,No,0
691,Research & Development,Research Scientist,2,Life Sciences,Male,35,35-44,6646,No,0,6,4,3,17,10+,No,0
692,Research & Development,Healthcare Representative,2,Life Sciences,Male,33,25-34,7725,No,0,6,4,1,13,10+,No,0
698,Human Resources,Human Resources,3,Medical,Male,54,45-54,10725,No,0,19,2,4,9,5-10,No,0
699,Research & Development,Manufacturing Director,2,Medical,Male,36,35-44,8847,Yes,1,9,2,3,3,2-5,No,0
700,Research & Development,Research Scientist,1,Medical,Male,27,25-34,2045,No,0,3,4,3,4,2-5,No,0
701,Research & Development,Research Scientist,1,Medical,Male,20,<25,1009,Yes,1,10,3,3,1,0-1,Yes,1
702,Research & Development,Research Scientist,1,Life Sciences,Male,33,25-34,3348,Yes,1,3,1,3,10,5-10,Yes,1
704,Research & Development,Laboratory Technician,1,Life Sciences,Male,35,35-44,1281,No,0,3,3,3,1,0-1,No,0
705,Research & Development,Research Scientist,1,Medical,Male,23,<25,2819,No,0,4,1,4,3,2-5,No,0
707,Sales,Sales Executive,2,Life Sciences,Male,25,25-34,4851,No,0,8,2,3,3,2-5,No,0
709,Sales,Sales Executive,2,Marketing,Female,38,35-44,4028,No,0,7,4,3,7,5-10,No,0
710,Research & Development,Research Scientist,1,Life Sciences,Male,29,25-34,2720,No,0,1,4,3,10,5-10,No,0
712,Sales,Sales Executive,2,Marketing,Male,48,45-54,8120,No,0,2,2,3,2,1-2,No,0
714,Sales,Sales Executive,2,Medical,Female,27,25-34,4647,Yes,1,3,4,3,6,5-10,No,0
715,Research & Development,Research Scientist,1,Life Sciences,Male,37,35-44,4680,No,0,10,4,3,1,0-1,No,0
716,Research & Development,Laboratory Technician,1,Medical,Male,50,45-54,3221,Yes,1,28,3,3,20,10+,No,0
717,Research & Development,Healthcare Representative,3,Medical,Female,34,25-34,8621,No,0,9,2,4,8,5-10,No,0
720,Sales,Sales Executive,2,Life Sciences,Female,24,<25,4577,No,0,3,3,3,2,1-2,Yes,1
721,Research & Development,Healthcare Representative,2,Technical Degree,Female,39,35-44,4553,No,0,2,3,3,20,10+,No,0
722,Sales,Sales Executive,2,Marketing,Male,32,25-34,5396,No,0,10,4,2,10,5-10,No,0
723,Sales,Sales Executive,2,Technical Degree,Male,50,45-54,6796,Yes,1,8,3,3,4,2-5,Yes,1
724,Research & Development,Healthcare Representative,2,Life Sciences,Female,38,35-44,7625,No,0,1,4,2,9,5-10,No,0
725,Research & Development,Manufacturing Director,3,Life Sciences,Female,27,25-34,7412,No,0,1,1,3,9,5-10,No,0
727,Research & Development,Research Director,3,Life Sciences,Female,32,25-34,11159,No,0,3,4,3,7,5-10,No,0
728,Sales,Sales Executive,2,Marketing,Male,47,45-54,4960,No,0,14,1,3,7,5-10,No,0
729,Sales,Sales Executive,3,Life Sciences,Male,40,35-44,10475,Yes,1,5,1,3,18,10+,No,0
730,Research & Development,Research Director,4,Life Sciences,Male,53,45-54,14814,No,0,7,3,3,5,2-5,No,0
731,Human Resources,Manager,5,Human Resources,Male,41,35-44,19141,No,0,10,4,2,21,10+,No,0
732,Sales,Sales Executive,2,Marketing,Male,60,55+,5405,No,0,16,1,3,2,1-2,No,0
733,Research & Development,Manufacturing Director,3,Life Sciences,Male,27,25-34,8793,No,0,10,1,2,9,5-10,No,0
734,Human Resources,Manager,5,Human Resources,Male,41,35-44,19189,No,0,1,3,3,22,10+,No,0
738,Sales,Sales Representative,1,Marketing,Male,50,45-54,3875,No,0,8,2,3,2,1-2,No,0
741,Research & Development,Research Scientist,1,Life Sciences,Female,28,25-34,2216,Yes,1,1,2,3,7,5-10,Yes,1
742,Research & Development,Research Director,3,Life Sciences,Female,36,35-44,11713,No,0,8,1,3,8,5-10,No,0
743,Research & Development,Manufacturing Director,3,Life Sciences,Female,38,35-44,7861,Yes,1,1,3,4,1,0-1,No,0
744,Research & Development,Laboratory Technician,1,Medical,Male,44,35-44,3708,No,0,24,3,3,5,2-5,No,0
746,Sales,Sales Executive,4,Medical,Female,47,45-54,13770,Yes,1,3,3,2,22,10+,No,0
747,Sales,Sales Executive,2,Marketing,Male,30,25-34,5304,No,0,27,4,2,8,5-10,No,0
749,Sales,Sales Representative,1,Life Sciences,Male,29,25-34,2642,No,0,10,3,3,1,0-1,No,0
752,Research & Development,Research Scientist,1,Medical,Male,42,35-44,2759,Yes,1,19,3,3,2,1-2,Yes,1
754,Sales,Sales Executive,2,Life Sciences,Male,43,35-44,6804,No,0,15,4,3,2,1-2,No,0
757,Research & Development,Healthcare Representative,2,Medical,Female,34,25-34,6142,No,0,8,3,3,5,2-5,No,0
758,Research & Development,Laboratory Technician,1,Medical,Male,23,<25,2500,No,0,9,1,4,4,2-5,No,0
760,Human Resources,Human Resources,2,Human Resources,Female,39,35-44,6389,No,0,3,2,1,8,5-10,No,0
762,Research & Development,Healthcare Representative,4,Medical,Male,56,55+,11103,No,0,9,4,2,10,5-10,No,0
763,Research & Development,Research Scientist,1,Medical,Female,40,35-44,2342,Yes,1,2,4,2,4,2-5,No,0
764,Research & Development,Healthcare Representative,2,Medical,Female,27,25-34,6811,No,0,7,1,1,7,5-10,No,0
766,Sales,Sales Representative,1,Marketing,Male,29,25-34,2297,No,0,10,2,3,2,1-2,No,0
769,Research & Development,Laboratory Technician,2,Life Sciences,Male,53,45-54,2450,No,0,6,4,3,2,1-2,No,0
771,Research & Development,Healthcare Representative,2,Life Sciences,Female,35,35-44,5093,No,0,2,1,4,1,0-1,No,0
772,Research & Development,Laboratory Technician,2,Life Sciences,Male,32,25-34,5309,No,0,24,4,3,10,5-10,No,0
773,Research & Development,Research Scientist,1,Medical,Male,38,35-44,3057,Yes,1,2,3,1,1,0-1,No,0
775,Research & Development,Manufacturing Director,2,Life Sciences,Female,34,25-34,5121,No,0,8,1,3,0,0-1,No,0
776,Sales,Manager,4,Marketing,Male,52,45-54,16856,No,0,3,1,4,34,10+,No,0
780,Research & Development,Research Scientist,1,Other,Male,33,25-34,2686,Yes,1,1,4,2,10,5-10,Yes,1
781,Sales,Sales Executive,2,Medical,Female,25,25-34,6180,No,0,26,4,2,6,5-10,No,0
783,Sales,Sales Representative,2,Technical Degree,Male,45,45-54,6632,No,0,2,3,3,8,5-10,No,0
784,Research & Development,Research Scientist,1,Medical,Male,23,<25,3505,No,0,10,3,3,2,1-2,No,0
785,Sales,Sales Executive,2,Life Sciences,Female,47,45-54,6397,Yes,1,27,3,3,5,2-5,Yes,1
786,Sales,Sales Executive,2,Other,Male,34,25-34,6274,No,0,2,4,3,6,5-10,No,0
787,Research & Development,Manager,5,Medical,Male,55,55+,19859,Yes,1,2,1,3,5,2-5,Yes,1
789,Sales,Sales Executive,3,Life Sciences,Male,36,35-44,7587,No,0,8,1,3,10,5-10,No,0
791,Research & Development,Research Scientist,1,Medical,Male,52,45-54,4258,No,0,19,4,3,4,2-5,No,0
792,Research & Development,Laboratory Technician,1,Life Sciences,Female,26,25-34,4364,No,0,1,4,3,2,1-2,No,0
793,Research & Development,Healthcare Representative,2,Medical,Female,29,25-34,4335,No,0,27,3,2,8,5-10,No,0
796,Sales,Sales Executive,2,Technical Degree,Male,26,25-34,5326,No,0,8,1,2,4,2-5,Yes,1
797,Research & Development,Research Scientist,1,Life Sciences,Female,34,25-34,3280,No,0,1,4,3,4,2-5,No,0
799,Research & Development,Manufacturing Director,2,Medical,Female,54,45-54,5485,Yes,1,19,1,3,5,2-5,No,0
800,Sales,Sales Executive,2,Marketing,Male,27,25-34,4342,No,0,8,4,3,4,2-5,No,0
802,Research & Development,Research Scientist,1,Life Sciences,Female,37,35-44,2782,Yes,1,10,1,2,5,2-5,No,0
803,Research & Development,Manufacturing Director,2,Life Sciences,Female,38,35-44,5980,Yes,1,2,1,3,15,10+,No,0
804,Research & Development,Research Scientist,1,Medical,Female,34,25-34,4381,No,0,2,1,3,6,5-10,No,0
805,Sales,Sales Representative,1,Life Sciences,Female,35,35-44,2572,No,0,8,4,2,3,2-5,No,0
806,Research & Development,Laboratory Technician,1,Life Sciences,Male,30,25-34,3833,No,0,1,3,3,2,1-2,No,0
807,Research & Development,Healthcare Representative,2,Medical,Female,40,35-44,4244,No,0,2,2,3,8,5-10,No,0
808,Sales,Sales Executive,2,Life Sciences,Female,34,25-34,6500,No,0,8,1,3,3,2-5,No,0
809,Research & Development,Manager,5,Life Sciences,Male,42,35-44,18430,No,0,8,4,2,24,10+,No,0
811,Research & Development,Laboratory Technician,1,Life Sciences,Male,23,<25,1601,Yes,1,6,1,3,0,0-1,Yes,1
812,Research & Development,Laboratory Technician,1,Life Sciences,Male,24,<25,2694,No,0,9,2,3,1,0-1,No,0
813,Research & Development,Laboratory Technician,2,Life Sciences,Female,52,45-54,3149,No,0,11,3,3,5,2-5,No,0
815,Research & Development,Research Director,4,Medical,Male,50,45-54,17639,No,0,2,3,3,4,2-5,No,0
816,Research & Development,Laboratory Technician,1,Life Sciences,Female,29,25-34,2319,Yes,1,1,1,3,1,0-1,Yes,1
817,Research & Development,Research Director,3,Medical,Male,33,25-34,11691,No,0,7,3,4,13,10+,No,0
819,Sales,Sales Executive,2,Marketing,Female,33,25-34,5324,No,0,16,1,3,3,2-5,Yes,1
820,Research & Development,Manager,4,Other,Female,47,45-54,16752,Yes,1,2,4,2,26,10+,No,0
823,Research & Development,Manufacturing Director,2,Other,Female,36,35-44,5228,No,0,1,2,3,9,5-10,No,0
824,Research & Development,Research Scientist,1,Life Sciences,Male,29,25-34,2700,No,0,23,3,3,10,5-10,No,0
825,Research & Development,Research Director,5,Life Sciences,Male,58,55+,19246,Yes,1,2,2,3,31,10+,Yes,1
826,Research & Development,Research Scientist,1,Life Sciences,Female,35,35-44,2506,No,0,1,3,3,2,1-2,No,0
827,Research & Development,Manufacturing Director,2,Life Sciences,Female,42,35-44,6062,Yes,1,1,4,3,4,2-5,No,0
828,Research & Development,Research Scientist,1,Medical,Male,28,25-34,4382,No,0,2,3,2,2,1-2,Yes,1
829,Human Resources,Human Resources,1,Human Resources,Male,36,35-44,2143,No,0,13,2,3,5,2-5,No,0
830,Research & Development,Manufacturing Director,2,Life Sciences,Female,32,25-34,6162,No,0,4,3,3,14,10+,No,0
832,Research & Development,Laboratory Technician,2,Medical,Male,40,35-44,5094,No,0,16,3,3,1,0-1,No,0
833,Research & Development,Manufacturing Director,2,Medical,Female,30,25-34,6877,Yes,1,2,4,2,0,0-1,No,0
834,Research & Development,Research Scientist,1,Life Sciences,Female,45,45-54,2274,No,0,2,3,3,1,0-1,No,0
836,Research & Development,Manufacturing Director,2,Life Sciences,Male,42,35-44,4434,No,0,29,2,2,9,5-10,No,0
837,Research & Development,Healthcare Representative,2,Life Sciences,Male,38,35-44,6288,No,0,12,1,2,4,2-5,No,0
838,Research & Development,Research Scientist,1,Life Sciences,Female,34,25-34,2553,No,0,16,4,3,5,2-5,No,0
840,Sales,Sales Executive,3,Marketing,Female,49,45-54,7654,No,0,11,4,4,9,5-10,Yes,1
842,Sales,Sales Executive,2,Medical,Male,55,55+,5160,No,0,2,4,2,9,5-10,Yes,1
843,Research & Development,Research Director,4,Life Sciences,Male,43,35-44,17159,No,0,14,1,3,4,2-5,No,0
844,Research & Development,Research Director,3,Technical Degree,Male,27,25-34,12808,Yes,1,5,4,3,9,5-10,No,0
845,Research & Development,Manufacturing Director,3,Other,Male,35,35-44,10221,No,0,7,3,4,8,5-10,No,0
846,Sales,Sales Executive,2,Marketing,Female,28,25-34,4779,Yes,1,2,2,3,8,5-10,No,0
847,Human Resources,Human Resources,1,Human Resources,Male,34,25-34,3737,No,0,3,4,1,3,2-5,No,0
848,Research & Development,Research Scientist,1,Medical,Female,26,25-34,2366,Yes,1,5,3,3,8,5-10,Yes,1
850,Research & Development,Research Scientist,1,Medical,Male,27,25-34,1706,No,0,3,4,2,0,0-1,No,0
851,Sales,Manager,4,Marketing,Female,51,45-54,16307,No,0,26,3,2,20,10+,No,0
852,Research & Development,Healthcare Representative,2,Medical,Male,44,35-44,5933,No,0,4,2,2,5,2-5,No,0
854,Research & Development,Research Scientist,1,Medical,Male,25,25-34,3424,No,0,2,1,2,4,2-5,No,0
855,Sales,Sales Executive,2,Medical,Male,33,25-34,4037,No,0,1,1,3,9,5-10,No,0
856,Research & Development,Research Scientist,1,Medical,Female,35,35-44,2559,No,0,27,1,2,6,5-10,No,0
857,Sales,Sales Executive,2,Life Sciences,Male,36,35-44,6201,Yes,1,1,4,2,18,10+,No,0
859,Sales,Sales Executive,2,Life Sciences,Male,32,25-34,4403,No,0,13,4,2,5,2-5,No,0
861,Research & Development,Research Scientist,1,Life Sciences,Male,30,25-34,3761,No,0,5,4,2,5,2-5,No,0
862,Sales,Sales Executive,3,Marketing,Female,53,45-54,10934,Yes,1,7,4,3,5,2-5,No,0
864,Sales,Sales Executive,3,Marketing,Male,45,45-54,10761,Yes,1,9,1,3,5,2-5,No,0
865,Research & Development,Research Scientist,2,Medical,Female,32,25-34,5175,No,0,8,3,2,5,2-5,No,0
867,Research & Development,Manufacturing Director,4,Medical,Female,52,45-54,13826,No,0,25,4,3,9,5-10,No,0
868,Sales,Sales Executive,2,Marketing,Male,37,35-44,6334,No,0,16,3,3,1,0-1,No,0
869,Human Resources,Human Resources,1,Medical,Male,28,25-34,4936,No,0,8,4,3,5,2-5,No,0
872,Research & Development,Manufacturing Director,2,Life Sciences,Male,22,<25,4775,No,0,1,4,1,2,1-2,No,0
874,Research & Development,Laboratory Technician,1,Life Sciences,Male,44,35-44,2818,Yes,1,8,4,2,3,2-5,No,0
875,Research & Development,Research Scientist,1,Medical,Male,42,35-44,2515,Yes,1,2,4,3,2,1-2,No,0
878,Human Resources,Human Resources,1,Life Sciences,Male,36,35-44,2342,No,0,8,1,3,5,2-5,No,0
879,Sales,Sales Executive,2,Other,Male,25,25-34,4194,Yes,1,3,1,3,5,2-5,No,0
880,Research & Development,Manufacturing Director,3,Life Sciences,Female,35,35-44,10685,Yes,1,9,3,3,17,10+,No,0
881,Research & Development,Research Scientist,1,Life Sciences,Female,35,35-44,2022,Yes,1,25,2,2,10,5-10,Yes,1
882,Research & Development,Laboratory Technician,1,Life Sciences,Male,32,25-34,2314,No,0,1,4,3,3,2-5,No,0
885,Sales,Sales Executive,2,Marketing,Male,25,25-34,4256,No,0,4,1,4,5,2-5,No,0
887,Research & Development,Research Scientist,1,Technical Degree,Female,49,45-54,3580,No,0,1,1,3,4,2-5,No,0
888,Research & Development,Laboratory Technician,1,Life Sciences,Male,24,<25,3162,No,0,4,4,2,5,2-5,No,0
889,Sales,Sales Executive,2,Life Sciences,Male,32,25-34,6524,No,0,5,2,3,10,5-10,No,0
893,Sales,Sales Representative,1,Marketing,Male,38,35-44,2899,No,0,9,2,3,2,1-2,No,0
894,Research & Development,Laboratory Technician,2,Life Sciences,Female,42,35-44,5231,Yes,1,3,4,2,5,2-5,No,0
895,Research & Development,Research Scientist,1,Life Sciences,Male,31,25-34,2356,Yes,1,11,4,3,6,5-10,No,0
896,Sales,Sales Representative,1,Medical,Female,29,25-34,2800,Yes,1,1,3,3,3,2-5,Yes,1
897,Sales,Sales Executive,4,Marketing,Male,53,45-54,11836,No,0,8,4,3,2,1-2,No,0
899,Research & Development,Manufacturing Director,3,Technical Degree,Male,35,35-44,10903,No,0,25,2,3,13,10+,No,0
900,Sales,Sales Representative,1,Medical,Female,37,35-44,2973,No,0,21,4,3,5,2-5,No,0
901,Research & Development,Research Director,4,Life Sciences,Female,53,45-54,14275,No,0,23,4,3,12,10+,No,0
902,Research & Development,Healthcare Representative,2,Life Sciences,Female,43,35-44,5562,No,0,1,4,2,5,2-5,No,0
903,Sales,Sales Executive,2,Marketing,Female,47,45-54,4537,Yes,1,2,4,3,7,5-10,No,0
904,Sales,Sales Executive,3,Medical,Male,37,35-44,7642,Yes,1,19,2,3,10,5-10,No,0
905,Research & Development,Manager,4,Life Sciences,Male,50,45-54,17924,No,0,2,1,3,31,10+,No,0
909,Human Resources,Human Resources,2,Life Sciences,Female,39,35-44,5204,No,0,2,4,3,5,2-5,No,0
910,Human Resources,Human Resources,1,Human Resources,Male,33,25-34,2277,Yes,1,3,2,4,4,2-5,No,0
911,Research & Development,Laboratory Technician,1,Life Sciences,Male,32,25-34,2795,Yes,1,25,4,1,1,0-1,Yes,1
912,Research & Development,Laboratory Technician,1,Medical,Female,29,25-34,2532,No,0,7,4,3,4,2-5,No,0
913,Research & Development,Research Scientist,1,Life Sciences,Male,44,35-44,2559,Yes,1,9,1,3,8,5-10,No,0
916,Sales,Sales Executive,2,Medical,Male,28,25-34,4908,No,0,5,4,3,4,2-5,No,0
918,Research & Development,Laboratory Technician,1,Life Sciences,Male,58,55+,2380,Yes,1,2,4,2,1,0-1,Yes,1
920,Research & Development,Manufacturing Director,2,Life Sciences,Female,43,35-44,4765,No,0,8,2,4,1,0-1,No,0
922,Sales,Sales Representative,1,Medical,Female,20,<25,2044,No,0,2,3,2,2,1-2,Yes,1
923,Research & Development,Research Scientist,1,Other,Female,21,<25,2693,No,0,18,4,2,1,0-1,Yes,1
924,Research & Development,Healthcare Representative,2,Life Sciences,Male,36,35-44,6586,Yes,1,14,4,2,16,10+,No,0
925,Sales,Sales Representative,1,Life Sciences,Female,47,45-54,3294,Yes,1,2,4,2,3,2-5,No,0
926,Research & Development,Manufacturing Director,2,Life Sciences,Female,22,<25,4171,Yes,1,3,3,4,3,2-5,Yes,1
927,Research & Development,Laboratory Technician,1,Life Sciences,Female,41,35-44,2778,Yes,1,2,4,2,7,5-10,Yes,1
930,Research & Development,Research Scientist,1,Medical,Female,28,25-34,2377,No,0,9,3,3,2,1-2,No,0
932,Research & Development,Laboratory Technician,1,Medical,Male,39,35-44,2404,Yes,1,6,1,1,2,1-2,Yes,1
933,Research & Development,Research Scientist,1,Life Sciences,Female,27,25-34,2318,No,0,4,3,3,1,0-1,No,0
934,Research & Development,Laboratory Technician,1,Life Sciences,Male,34,25-34,2008,No,0,10,2,3,1,0-1,No,0
936,Sales,Sales Executive,2,Medical,Female,42,35-44,6244,No,0,14,3,3,5,2-5,No,0
939,Research & Development,Research Scientist,1,Other,Male,33,25-34,2799,Yes,1,1,1,3,3,2-5,No,0
940,Research & Development,Healthcare Representative,3,Technical Degree,Female,58,55+,10552,Yes,1,5,2,3,6,5-10,No,0
941,Sales,Sales Representative,1,Life Sciences,Male,31,25-34,2329,No,0,7,3,4,7,5-10,No,0
942,Research & Development,Healthcare Representative,2,Life Sciences,Female,35,35-44,4014,Yes,1,21,4,1,10,5-10,No,0
944,Research & Development,Laboratory Technician,3,Other,Female,49,45-54,7403,No,0,8,2,2,26,10+,No,0
945,Research & Development,Research Scientist,1,Medical,Male,48,45-54,2259,No,0,20,3,2,0,0-1,No,0
947,Sales,Sales Executive,2,Marketing,Female,31,25-34,6932,No,0,20,3,2,9,5-10,No,0
949,Research & Development,Research Scientist,1,Other,Male,36,35-44,4678,No,0,7,4,3,6,5-10,No,0
950,Research & Development,Research Director,3,Technical Degree,Female,38,35-44,13582,No,0,1,1,3,15,10+,No,0
951,Research & Development,Laboratory Technician,1,Life Sciences,Female,32,25-34,2332,No,0,1,2,3,3,2-5,No,0
952,Sales,Sales Representative,1,Marketing,Male,25,25-34,2413,Yes,1,19,2,3,1,0-1,Yes,1
954,Sales,Sales Executive,3,Marketing,Male,40,35-44,9705,No,0,10,2,2,1,0-1,No,0
956,Sales,Sales Executive,2,Medical,Male,26,25-34,4294,No,0,1,1,3,7,5-10,No,0
957,Research & Development,Laboratory Technician,1,Medical,Male,41,35-44,4721,Yes,1,6,1,3,18,10+,No,0
958,Research & Development,Laboratory Technician,1,Medical,Male,36,35-44,2519,No,0,2,3,3,11,10+,No,0
959,Sales,Sales Representative,1,Other,Male,19,<25,2121,Yes,1,21,2,4,1,0-1,Yes,1
960,Research & Development,Laboratory Technician,1,Technical Degree,Male,20,<25,2973,No,0,4,1,3,1,0-1,Yes,1
961,Research & Development,Healthcare Representative,2,Medical,Female,31,25-34,5855,Yes,1,12,4,1,9,5-10,No,0
964,Research & Development,Research Scientist,1,Medical,Male,40,35-44,3617,Yes,1,9,2,3,1,0-1,No,0
966,Research & Development,Manufacturing Director,2,Medical,Female,32,25-34,6725,No,0,3,1,4,8,5-10,No,0
967,Sales,Sales Executive,3,Life Sciences,Male,36,35-44,10325,Yes,1,3,4,3,16,10+,Yes,1
969,Research & Development,Healthcare Representative,2,Life Sciences,Female,33,25-34,6949,No,0,1,4,3,5,2-5,No,0
970,Sales,Sales Executive,3,Life Sciences,Male,37,35-44,10609,No,0,1,3,1,14,10+,Yes,1
972,Research & Development,Laboratory Technician,2,Life Sciences,Male,45,45-54,4447,No,0,4,2,2,9,5-10,No,0
974,Sales,Sales Representative,1,Technical Degree,Female,29,25-34,2157,No,0,20,4,3,3,2-5,No,0
975,Sales,Sales Executive,2,Medical,Female,35,35-44,4601,No,0,18,3,3,5,2-5,No,0
976,Research & Development,Manager,4,Life Sciences,Male,52,45-54,17099,No,0,1,4,2,9,5-10,No,0
977,Research & Development,Research Scientist,1,Technical Degree,Male,58,55+,2479,No,0,2,3,3,1,0-1,Yes,1
981,Sales,Manager,4,Medical,Male,53,45-54,14852,No,0,2,3,4,17,10+,No,0
982,Sales,Sales Executive,3,Other,Male,30,25-34,7264,No,0,8,3,4,8,5-10,No,0
983,Sales,Sales Executive,2,Technical Degree,Female,38,35-44,5666,Yes,1,10,4,3,5,2-5,No,0
984,Sales,Sales Executive,3,Life Sciences,Male,35,35-44,7823,No,0,3,4,3,10,5-10,No,0
985,Sales,Sales Executive,3,Life Sciences,Male,39,35-44,7880,No,0,2,3,3,8,5-10,No,0
986,Sales,Sales Executive,4,Life Sciences,Female,40,35-44,13194,Yes,1,24,2,2,1,0-1,Yes,1
987,Research & Development,Manufacturing Director,2,Medical,Male,47,45-54,5067,Yes,1,16,3,4,19,10+,No,0
990,Sales,Sales Executive,2,Technical Degree,Male,36,35-44,5079,No,0,8,4,3,7,5-10,No,0
991,Research & Development,Research Scientist,1,Medical,Male,31,25-34,2321,Yes,1,9,1,3,3,2-5,Yes,1
992,Sales,Manager,4,Life Sciences,Male,33,25-34,17444,No,0,17,3,3,10,5-10,No,0
994,Research & Development,Research Scientist,1,Life Sciences,Female,29,25-34,2404,Yes,1,10,1,3,0,0-1,Yes,1
995,Research & Development,Research Scientist,1,Life Sciences,Female,33,25-34,3452,No,0,13,4,3,3,2-5,No,0
996,Research & Development,Laboratory Technician,1,Medical,Female,45,45-54,2270,No,0,1,4,3,5,2-5,No,0
997,Research & Development,Research Director,4,Medical,Male,50,45-54,17399,No,0,1,4,2,5,2-5,No,0
998,Research & Development,Healthcare Representative,2,Other,Female,33,25-34,5488,Yes,1,1,2,3,6,5-10,No,0
999,Research & Development,Research Director,5,Medical,Male,41,35-44,19419,No,0,9,3,4,18,10+,No,0
1001,Research & Development,Laboratory Technician,1,Technical Degree,Female,27,25-34,2811,No,0,16,2,3,2,1-2,No,0
1002,Research & Development,Laboratory Technician,2,Life Sciences,Male,45,45-54,3633,Yes,1,23,1,3,9,5-10,No,0
1003,Sales,Sales Executive,2,Life Sciences,Female,47,45-54,4163,Yes,1,4,4,3,9,5-10,No,0
1004,Research & Development,Research Scientist,1,Life Sciences,Female,30,25-34,2132,Yes,1,22,3,3,5,2-5,Yes,1
1005,Research & Development,Manufacturing Director,4,Life Sciences,Male,50,45-54,13973,Yes,1,24,3,3,12,10+,No,0
1006,Research & Development,Research Scientist,1,Medical,Male,38,35-44,2684,No,0,10,3,2,2,1-2,No,0
1007,Research & Development,Manufacturing Director,3,Medical,Male,46,45-54,10845,No,0,7,3,3,8,5-10,No,0
1009,Research & Development,Manufacturing Director,2,Medical,Female,24,<25,4377,No,0,17,3,3,4,2-5,No,0
1010,Research & Development,Laboratory Technician,1,Other,Male,35,35-44,3743,Yes,1,14,2,1,4,2-5,Yes,1
1011,Research & Development,Manufacturing Director,2,Life Sciences,Female,31,25-34,4148,No,0,1,1,3,4,2-5,No,0
1012,Research & Development,Research Scientist,1,Life Sciences,Male,18,<25,1051,No,0,5,4,3,0,0-1,No,0
1013,Research & Development,Manufacturing Director,3,Technical Degree,Female,54,45-54,10739,No,0,17,3,3,10,5-10,No,0
1014,Research & Development,Healthcare Representative,3,Medical,Female,35,35-44,10388,Yes,1,25,3,2,16,10+,No,0
1015,Research & Development,Research Director,3,Life Sciences,Female,30,25-34,11416,Yes,1,8,1,2,8,5-10,No,0
1016,Research & Development,Research Scientist,1,Medical,Female,20,<25,2600,Yes,1,11,1,3,1,0-1,Yes,1
1017,Research & Development,Laboratory Technician,1,Medical,Female,30,25-34,2422,No,0,5,2,3,3,2-5,Yes,1
1018,Research & Development,Manufacturing Director,2,Medical,Male,26,25-34,5472,No,0,2,4,3,8,5-10,No,0
1019,Research & Development,Laboratory Technician,1,Life Sciences,Male,22,<25,2451,No,0,8,1,2,4,2-5,No,0
1022,Research & Development,Healthcare Representative,2,Life Sciences,Male,48,45-54,4240,No,0,6,3,3,2,1-2,No,0
1024,Research & Development,Healthcare Representative,3,Life Sciences,Male,48,45-54,10999,No,0,4,3,3,15,10+,No,0
1025,Research & Development,Manufacturing Director,2,Medical,Female,41,35-44,5003,No,0,7,3,3,2,1-2,No,0
1026,Research & Development,Manufacturing Director,4,Life Sciences,Female,39,35-44,12742,No,0,1,4,3,21,10+,No,0
1027,Research & Development,Manufacturing Director,2,Life Sciences,Female,27,25-34,4227,No,0,2,4,3,3,2-5,No,0
1028,Research & Development,Laboratory Technician,1,Other,Male,35,35-44,3917,No,0,10,4,2,3,2-5,No,0
1029,Sales,Manager,5,Marketing,Male,42,35-44,18303,No,0,5,3,4,1,0-1,No,0
1030,Research & Development,Laboratory Technician,1,Life Sciences,Male,50,45-54,2380,No,0,9,4,3,1,0-1,No,0
1032,Research & Development,Manufacturing Director,4,Life Sciences,Female,59,55+,13726,Yes,1,2,4,3,5,2-5,No,0
1033,Research & Development,Healthcare Representative,2,Medical,Female,37,35-44,4777,No,0,11,2,1,1,0-1,Yes,1
1034,Research & Development,Healthcare Representative,2,Medical,Male,55,55+,6385,Yes,1,18,2,3,8,5-10,No,0
1035,Research & Development,Research Director,5,Life Sciences,Female,41,35-44,19973,No,0,7,3,3,21,10+,No,0
1036,Sales,Sales Executive,2,Life Sciences,Male,38,35-44,6861,Yes,1,3,4,3,1,0-1,No,0
1037,Sales,Sales Executive,2,Medical,Male,26,25-34,4969,No,0,29,1,3,2,1-2,Yes,1
1038,Sales,Manager,5,Marketing,Female,52,45-54,19845,No,0,2,4,3,32,10+,Yes,1
1039,Sales,Sales Executive,4,Medical,Female,44,35-44,13320,Yes,1,28,4,3,12,10+,No,0
1040,Sales,Sales Executive,2,Life Sciences,Female,50,45-54,6347,No,0,1,3,3,18,10+,No,0
1042,Research & Development,Laboratory Technician,1,Life Sciences,Female,36,35-44,2743,No,0,16,1,3,17,10+,Yes,1
1043,Research & Development,Manufacturing Director,3,Medical,Female,39,35-44,10880,Yes,1,22,1,3,21,10+,No,0
1044,Sales,Sales Representative,1,Life Sciences,Female,33,25-34,2342,No,0,8,4,2,2,1-2,No,0
